Date,Adj Close,Close,High,Low
13/10/2022,112.530,112.530,113.440,105.350
14/10/2022,106.900,106.900,114.960,106.600
17/10/2022,113.790,113.790,114.190,110.090
18/10/2022,116.360,116.360,119.520,114.790
19/10/2022,115.070,115.070,116.590,113.220
20/10/2022,115.250,115.250,118.240,113.510
21/10/2022,119.320,119.320,119.590,114.500
24/10/2022,119.820,119.820,120.390,116.570
25/10/2022,120.600,120.600,121.320,118.950
26/10/2022,115.660,115.660,119.350,114.760
27/10/2022,110.960,110.960,114.120,109.770
28/10/2022,103.410,103.410,103.960,97.660
31/10/2022,102.440,102.440,104.870,100.740
01/11/2022,96.790,96.790,104.580,96.060
02/11/2022,92.120,92.120,97.740,92.010
03/11/2022,89.300,89.300,93.500,89.020
04/11/2022,90.980,90.980,92.440,88.040
07/11/2022,90.530,90.530,92.100,89.040
08/11/2022,89.980,89.980,91.720,88.230
09/11/2022,86.140,86.140,89.480,85.870
10/11/2022,96.630,96.630,98.690,91.650
11/11/2022,100.790,100.790,101.190,96.660
14/11/2022,98.490,98.490,100.120,97.290
15/11/2022,98.940,98.940,103.790,97.340
16/11/2022,97.120,97.120,98.490,95.540
17/11/2022,94.850,94.850,96.970,94.030
18/11/2022,94.140,94.140,95.990,92.480
21/11/2022,92.460,92.460,95.020,90.590
22/11/2022,93.200,93.200,93.350,90.870
23/11/2022,94.130,94.130,94.580,92.830
25/11/2022,93.410,93.410,94.430,93.070
28/11/2022,93.950,93.950,96.400,93.430
29/11/2022,92.420,92.420,94.410,91.440
30/11/2022,96.540,96.540,96.540,91.530
01/12/2022,95.500,95.500,97.230,94.920
02/12/2022,94.130,94.130,95.360,93.780
05/12/2022,91.010,91.010,94.060,90.820
06/12/2022,88.250,88.250,91.040,87.900
07/12/2022,88.460,88.460,89.890,87.480
08/12/2022,90.350,90.350,90.860,87.880
09/12/2022,89.090,89.090,90.300,88.630
12/12/2022,90.550,90.550,90.580,87.870
13/12/2022,92.490,92.490,96.250,90.520
14/12/2022,91.580,91.580,93.460,89.870
15/12/2022,88.450,88.450,89.970,87.470
16/12/2022,87.860,87.860,89.350,86.730
19/12/2022,84.920,84.920,87.630,84.510
20/12/2022,85.190,85.190,86.610,84.330
21/12/2022,86.770,86.770,87.230,85.210
22/12/2022,83.790,83.790,85.680,82.250
23/12/2022,85.250,85.250,85.780,82.930
27/12/2022,83.040,83.040,85.350,83.000
28/12/2022,81.820,81.820,83.480,81.690
29/12/2022,84.180,84.180,84.550,82.550
30/12/2022,84.000,84.000,84.050,82.470
03/01/2023,85.820,85.820,86.960,84.210
04/01/2023,85.140,85.140,86.980,83.360
05/01/2023,83.120,83.120,85.420,83.070
06/01/2023,86.080,86.080,86.400,81.430
09/01/2023,87.360,87.360,89.480,87.080
10/01/2023,89.870,89.870,90.190,87.290
11/01/2023,95.090,95.090,95.260,90.930
12/01/2023,95.270,95.270,97.190,93.500
13/01/2023,98.120,98.120,98.370,94.120
17/01/2023,96.050,96.050,98.890,95.730
18/01/2023,95.460,95.460,99.320,95.380
